word	word_freq	n
吃	1537	66
一	2101	35
了	9319	29
聽	377	20
站	766	19
加	430	16
喝	329	16
穿	715	15
比	1792	12
好	2514	11
不	7185	10
打	1447	10
硬	89	8
嘗	70	7
收	215	7
拿	859	6
比較	755	6
關	62	6
笑	333	5
跳	191	5
嚼	43	4
得	1735	4
投	550	4
使用	1297	3
動	200	3
坐	154	3
建立	264	3
用	1725	3
聯合	230	3
藏	53	3
跑	501	3
high	77	2
young	25	2
包	490	2
午睡	5	2
合	80	2
咻	30	2
哭	156	2
學	143	2
封	65	2
就	7387	2
就燒	2	2
想	1585	2
感覺	674	2
應硬	2	2
抓	220	2
抱	135	2
拉提	17	2
推動	280	2
推銷	43	2
搭配	734	2
操作	244	2
攀談	11	2
活	71	2
相加	2	2
算	136	2
聯繫	147	2
藝	36	2
被關	13	2
講	124	2
飛	114	2
一忙	2	1
一早	46	1
一站	22	1
並補	2	1
亮	141	1
仔一	1	1
住	443	1
個加	1	1
做	2003	1
健康	638	1
元加	5	1
先藏	1	1
再	3188	1
冷凍	37	1
凝聚	21	1
勃	5	1
動員	69	1
勢力	70	1
半夜	53	1
卻發	1	1
叫	379	1
哽咽	39	1
單曲	41	1
嘟囔	4	1
回味	16	1
回憶	115	1
地站	3	1
堆疊	16	1
堆砌	8	1
場加	1	1
多	2829	1
多愁善感	5	1
大	3822	1
大站	5	1
大聲	80	1
天加	1	1
奮戰	16	1
姊姊	173	1
存	56	1
家比	1	1
家笑	1	1
富麗堂皇	6	1
寫	222	1
封印	2	1
封閉	52	1
專輯	171	1
對比	42	1
工作	1676	1
師比	1	1
建構	48	1
得意	54	1
心也連	1	1
心癢	4	1
快	430	1
快樂	145	1
感傷	14	1
成熟	167	1
我氣	2	1
抬得	1	1
拉	184	1
掀	25	1
換	96	1
換算	68	1
握	25	1
搭	521	1
摺	44	1
播	47	1
撿拾	10	1
擔心	653	1
支加	1	1
放鬆	117	1
救援	165	1
敷	43	1
暖	24	1
暖和	11	1
暴食	1	1
曹興誠關	1	1
最快	262	1
有	13648	1
歌曲	74	1
歸結	1	1
沒有	3018	1
活躍	34	1
清楚	322	1
潤滑	8	1
激動	79	1
火燒	20	1
焊	1	1
燃燒	44	1
燒	69	1
留	78	1
當家作主	6	1
痙攣	3	1
發作	88	1
發威	21	1
皮包	75	1
目錄	10	1
相較	184	1
磨菇	3	1
窗廉拉	1	1
筆畫	5	1
籌備	34	1
紅了	10	1
統一	368	1
緊張	196	1
繼續	641	1
美	616	1
背	88	1
脹	11	1
臉紅	12	1
舉不	1	1
著亂	1	1
要學	6	1
觀賞	79	1
詮釋	91	1
說	7094	1
讀	100	1
買	1204	1
走	807	1
輕盈	29	1
辯論	51	1
連笑	1	1
運作	125	1
運轉	37	1
還學	3	1
都熱	1	1
醒	20	1
錢加	2	1
開	614	1
震動	21	1
靈活	50	1
靦腆	14	1
響	78	1
頭抬	1	1
頭痛	66	1
飛揚	9	1
驚呼	31	1
高張	3	1
高漲	43	1
鬥	5	1
